iter	Passed	Remaining
0	0	57
1	1	51
2	1	47
3	1	42
4	2	42
5	2	41
6	3	41
7	3	41
8	4	41
9	4	40
10	5	40
11	5	40
12	5	39
13	6	39
14	6	38
15	7	38
16	7	38
17	8	37
18	8	36
19	9	36
20	9	35
21	10	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	18
63	31	17
64	32	17
65	32	16
66	33	16
67	34	16
68	34	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	42	9
81	42	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	52	1
98	52	0
99	53	0
